id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,"Casa Madrona - Urban Oasis, 1 block from the Park!",2536,Megan,Central Area,Madrona,47.61081928,-122.290816,Entire home/apt,296,4,20,9/18/2018,0.16,3,345
4291,Sunrise in Seattle Master Suite,35749,Jess & Joey,Other neighborhoods,Roosevelt,47.68780101,-122.3134273,Private room,82,2,63,10/6/2018,0.96,5,365
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.5239795,-122.3598906,Entire home/apt,48,3,461,11/2/2018,4.37,1,24
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65410861,-122.3376053,Entire home/apt,90,2,134,10/21/2018,1.18,3,287
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.5506197,-122.3201354,Private room,65,2,130,9/9/2018,1.29,5,336
9460,Downtown/Convention Ctr B&B - Nice!,30832,Siena,Downtown,First Hill,47.60800998,-122.3287387,Private room,80,3,399,10/28/2018,3.56,4,133
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55538926,-122.3847386,Entire home/apt,165,2,35,10/8/2018,0.42,2,267
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55623565,-122.3859805,Entire home/apt,125,2,36,10/29/2018,0.43,2,352
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65478743,-122.3365199,Entire home/apt,120,2,76,10/1/2018,0.84,3,94
9909,Luna Park Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56520913,-122.3737475,Entire home/apt,125,3,57,10/23/2018,3.75,8,22
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,Delridge,High Point,47.55364569,-122.3632573,Private room,50,5,36,6/20/2018,0.33,1,334
10385,Upscale Seattle Hotel Alternative ,35749,Jess & Joey,Northgate,Maple Leaf,47.69571858,-122.3119439,Private room,60,2,94,9/23/2018,0.85,5,335
