Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building, Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)",Constituency over 50% one race,Length of Lease (Date),Address,Location,Closed Date,Closed?
10 Degrees,,www.10degreesseattle.com,750,Capitol Hill,N,Multi-use,2011,O,1970,2011,0,0,0,N,0,N,0,Y,Y,Y,N,5,,,1312 E Union St Seattle WA 98122,"(47.612905, -122.31477)",,0
12th Ave Arts,,http://www.blackboxoperations.org/,7750,Capitol Hill,N,Performance,2014,R,2014,2014,0,2,230,N,,Y,0,Y,Yes,Y,P,5,,,1620 12th Ave #101,"(47.615572, -122.316789)",,0
18th & Union,(206) 937-6499,https://18thandunion.org,1800,Central District,Non Profit,Performance,2016,Rent,1938,2016,,1,47,No,,No,0,Yes,Yes,Yes,No,3,,2019,1406 18th Avenue,"(47.6131012, -122.3086934)",,0
4Culture in Tashiro Kaplan,(206) 296-7580,www.4culture.org,,Pioneer Square,,Arts/Cultural Administration or Advocacy,2005,R,1919,1967,2,0,0,Y,1000,Y,0,Y,Y,Y,N,5,,2034,101 Prefontaine Pl S Seattle WA 98104,"(47.6014352, -122.3300625)",,0
501 Commons,,,,Downtown,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,510 2nd Ave W Seattle WA 98119,"(47.6236732, -122.3590953)",,0
57 Biscayne,,www.57biscayne.com,5712,Pioneer Square,N,Visual,2011,R,1890,2011,0,0,0,Y,400,N,0,N,N,N,N,3,,2026,110 Cherry St #200 Seattle WA 98104,"(47.6028497, -122.3338684)",,0
5th Avenue Theatre,(206) 625-1900,www.5thavenue.org,44154,Downtown,Y,Performance,1979,R,1926,1979,0,1,2100,N,0,Y,0,Y,Y,Y,Y,5,,2034,1308 5th Ave Seattle WA 98101,"(47.6091749, -122.3339671)",,0
7 Point Studio and The Boro School,(206) 284-5277,www.7pointstudios.com,18000,Chinatown International District,N,Visual,2013,R,1932,2013,3,0,0,Y,5000,Partial,8,Y,Y,N,N,3,,2022,1300 S Dearborn St Seattle WA 98144,"(47.5962520, -122.3155670)",,0
826 Seattle/ The Greater Seattle Bureau of Fearless Ideas,(206) 725-2625,www.826seattle.org,4608,Greenwood,Y,Arts/Cultural Training or Education,2004,R,1920,2005,0,0,0,N,0,N,0,Y,N,N,Y,5,,2020,8414 Greenwood Ave N Seattle WA 98103,"(47.6902621, -122.3549016)",,0
88 Keys Dueling Piano Bar,,,,Pioneer Square,,Music,,,,,,,,,,,,,,,,,,,315 2nd Ave S Seattle WA 98104,"(47.5995370, -122.3319780)",,0
91.3 KBCS,(425) 564-2427,www.kbcs.fm,4000,,Government,Studios,1973,R,1960,1973,2,0,,N,,Partial,5,N,N,N,,4,,,3000 Landerholm Circle SE Bellevue WA 98007,"(47.5861850, -122.1467670)",,0
911 Media Arts Center,,,,University District,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,909 NE 43rd St #206 Seattle WA 98105,"(47.6593651, -122.3180274)",,0
98.1 Classical KING FM,206-691-2981,KING.org,4000,Queen Anne,Y,Music,2001,R,1964,1948,1,0,,N,,Y,0,Y,N,N,,4,,,10 Harrison Street Suite 100 Seattle 98109,"(47.6221520, -122.3565310)",,0
a cappella Joy,(425) 821-5758,www.ajoysings.org,1800,,Y,Music,2004,R,1980,1964,2,0,,N,,Y,50,Y,Y,N,,5,,,18232 190th Place NE Woodinville WA 98077,"(47.7598570, -122.0834650)",,0
A Contemporary Theatre (ACT),(206) 292-7660,www.acttheatre.org,21360,Downtown,Y,Performance,1995,Other,1926,1965,1,5,1153,N,0,Y,0,Y,Y,Y,Y,5,,0,700 Union St Seattle WA 98101,"(47.6108495, -122.3323316)",,0
A-1 Piano,,,,Greenwood,,Service/Supply,,,,,,,,,,,,,,,,,,,7020 Greenwood Ave N Seattle WA 98103,"(47.6799850, -122.3550110)",,0
Aaron Brothers Art & Framing,,,,Downtown,,Service/Supply,,,,,,,,,,,,,,,,,,,1513 3rd Ave Seattle WA 98101,"(47.6100310, -122.3385240)",,0
Abmeyer + Wood Fine Art,(206) 628-9501,www.abmeyerwood.com,2500,Downtown,N,Visual,2012,R,1989,2012,1,0,0,Y,2200,Y,0,Y,Y,N,N,5,,2019,1210 2nd Ave Seattle WA 98101,"(47.6070478, -122.3364073)",,0
Ace Studios Gallery,,,,Pioneer Square,,Visual,,,,,,,,,,,,,,,,,,,619 Western Ave 3rd Fl Seattle WA 98104,"(47.6023356, -122.3358275)",,0
ActivSpace North Seattle,(206) 529-1488,www.activspace.com,50000,Lake City,N,Multi-use,2012,Other,2004,1997,4,0,0,N,0,Y,20,Y,Y,N,N,5,,0,10015 Lake City Way NE Seattle WA 98125,"(47.7018484, -122.3023713)",,0
Ada's Technical Books,(206) 322-1058,https://www.seattletechnicalbooks.com/,,Capitol Hill,,Literary,,,,,,,,,,,,,,,,,,,425 15th Ave East Seattle WA 98112,"(47.6224150, -122.3126300)",,0
Addison on Fourth,,,,Pioneer Square,,Live/Work,,,,,,,,,,,,,,,,,,,308 4th Ave S Seattle WA 98104,"(47.5997770, -122.3285750)",,0
Adefua Cultural Exchange Workshop,(206) 722-6602,www.planetafua.com,500,Rainier Valley,Y,Performance,1994,R,1905,1986,1,0,0,N,0,Partial,3,Y,N,N,N,3,,2016-09-14T00:00:00,6716 Rainier Ave S Seattle WA 98118,"(47.5420331, -122.2720570)",,0
Admiral Theatre,,,,West Seattle,,Cinema,,,,,,,,,,,,,,,,,,,2343 California Ave SW Seattle WA 98116,"(47.5819689, -122.3869421)",,0
Al Studio Fine Art Classes,(425) 908-9908,www.artclasskirkland.com,400,,N,Arts/Cultural Training or Education,2011,R,1960,2011,0,0,,N,,I don't know.,10,Y,I don't know.,N,,2,,,9624 NE 130th Pl Kirkland WA 98034,"(47.7171680, -122.2119330)",,0
Alexander's Bead Bazaar,,,,University District,,Service/Supply,,,,,,,,,,,,,,,,,,,6307 Roosevelt Way NE Seattle WA 98115,"(47.6744460, -122.3177340)",,0
Alki Arts,(206) 432-9936,www.alkiarts.com,6000,Downtown,N,Visual,2012,R,,2009,2,0,0,Y,6000,,0,Y,Y,Y,N,2,,2014,55 University Seattle WA 98101,"(47.6060923, -122.3395432)",,0
Art Stall Gallery,,,,Downtown,,Visual,,,,,,,,,,,,,,,,,,,97 Pike Pl Seattle WA 98101,"(47.6094497, -122.3418366)",,0
